Player,Utility,Team ,color,rank
 Yui Hasegawa,0.511874,Manchester City WFC ,#6CABDD,1
Chloe Kelly,0.350942,Manchester City WFC ,grey,5
Alex Greenwood,0.293618,Manchester City WFC ,grey,7
Khadija Monifa ,0.361546,Manchester City WFC ,grey,4
Hayley Emma Raso,0.155014,Manchester City WFC ,grey,12
Laia Aleixandri ,0.329554,Manchester City WFC ,grey,6
Ingrid Filippa ,0.208329,Manchester City WFC ,grey,10
Stephanie Houghton,0.229472,Manchester City WFC ,grey,8
Lauren Hemp,0.369146,Manchester City WFC ,#6CABDD,3
Laura Coombs,0.229126,Manchester City WFC ,grey,9
Kerstin Yasmijn ,0.409505,Manchester City WFC ,#6CABDD,2
Eli Roebuck,0.181663,Manchester City WFC ,grey,11
Frida Maanum,0.317722,Arsenal WFC ,#EF0107,3
Giovana Queiroz ,0.232752,Arsenal WFC ,grey,9
Leah Williamson,0.289772,Arsenal WFC ,grey,5
Wubben-Moy,0.284633,Arsenal WFC ,grey,6
Manuela Zinsberger,0.175315,Arsenal WFC ,grey,12
Laura Wienroither,0.256132,Arsenal WFC ,grey,8
Noelle Maritz,0.404772,Arsenal WFC ,#EF0107,2
Kathrine Moller ,0.178883,Arsenal WFC ,grey,11
Stephanie-Elise ,0.312731,Arsenal WFC ,grey,4
Caitlin Jade Foord,0.195946,Arsenal WFC ,grey,10
Kim Little,0.281712,Arsenal WFC ,grey,7
Rafaelle Leone ,0.428616,Arsenal WFC ,#EF0107,1
